"No.","Time","Source","Destination","Protocol","Length","Info"
"51","7.686021","192.168.142.126","192.168.142.6","DNS","75","Standard query 0x6f09 A www.yxnu.edu.cn"
"52","7.761565","192.168.142.6","192.168.142.126","DNS","91","Standard query response 0x6f09 A www.yxnu.edu.cn A 202.203.86.93"
